操作员账号,店铺名称,交易笔数,优惠笔数,优惠金额(元),优惠券1的笔数(10元),优惠券2的笔数(50元),实收金额(元),退款笔数,退款总额(元)
01L14001,Adidas,52,2,110,1,2,25354.0,0,0.0
01L24001,Nike,18,4,180,3,3,7411.5,0,0.0
01L12501,XTEP,32,4,250,5,4,9044.0,0,0.0
01L21601,Lining,28,3,160,1,3,15466.0,0,0.0
01L21001,NEW BALANCE,11,0,0,0,0,5323.0,0,0.0
01L23001,ANTA,31,5,290,4,5,8338.0,0,0.0
01L20601,乔丹,15,1,60,1,1,6210.0,0,0.0
01L20101,Peak,34,10,560,11,9,8131.0,0,0.0
01L13501,VANS,117,3,150,0,3,51351.0,0,0.0
01L20801,Puma,20,4,230,3,4,10207.0,0,0.0
01L23801,Kappa,13,0,0,0,0,8075.0,0,0.0
01L12301,Camel,154,7,430,8,7,21004.0,0,0.0
01L22301,,58,7,390,4,7,12139.0,0,0.0
01L32601,,48,6,300,5,5,8920.5,0,0.0
01L13701,,72,24,1340,19,23,8059.5,1,-288.0
01L10701,,21,0,0,0,0,13353.0,0,0.0
01L20901,,17,0,0,0,0,17358.0,0,0.0
01L24501,,39,6,340,4,6,15956.7,1,-572.4
01L13801,,28,0,0,0,0,13579.1,0,0.0
01L12801,,47,2,120,2,2,18108.0,1,-638.0
01L21801,,43,9,540,9,9,8776.0,0,0.0
01L21901,,16,1,50,0,1,4032.0,0,0.0
01L31101,,63,0,0,0,0,7203.0,0,0.0
01L31301,,38,4,240,4,4,12878.0,0,0.0
01L11501,,22,4,170,2,3,9796.0,0,0.0
01L13201,,31,1,50,0,1,11639.0,0,0.0
01L22601,,11,0,0,0,0,6831.0,0,0.0
01L24101,,12,5,300,5,5,3791.6,0,0.0
01L32101,,12,2,70,2,1,1587.0,0,0.0
01L30801,,27,2,110,1,2,8367.0,0,0.0
01L21201,,11,0,0,0,0,5074.0,0,0.0
01L31901,,7,0,0,0,0,2324.0,0,0.0
01L20301,,26,5,320,7,5,5203.0,0,0.0
01L10101,,5,0,0,0,0,10947.0,0,0.0
01L23901,,11,1,60,1,1,4483.4,0,0.0
01L23501,,8,0,0,0,0,7597.0,0,0.0
01L32701,,14,3,150,0,3,3094.0,0,0.0
01L41301,,2,0,0,0,0,10123.0,0,0.0
01L24201,,3,0,0,0,0,1752.0,0,0.0
01L26601,,5,0,0,0,0,10056.0,0,0.0
zzcw01,,2,0,0,0,0,-2142.0,2,-2142.0
合计,(Total):,1224,125,6970,102,119,416800.3,5,-3640.4

商场活动数据,实收金额,实收金额手续费,实际结算金额,商场到账金额,差额
,416800.3,1583.84114,415216.45886,/,/

结算公式:
实收金额=快收后台实收金额
实收金额手续费=实收金额*0.38%
实际结算金额=实收金额-实收金额手续费
